size,growthRate,InitialSize,breaks,time,diff,stdGR
7.626,1.5280000000000005,6.098,0,T6,T3 to T6,0.2505739586749755
18.86,9.344,9.516,0,T6,T3 to T6,0.9819251786464901
8.069,5.865,2.204,0,T6,T3 to T6,2.661070780399274
28.592,13.075,15.517,0,T6,T3 to T6,0.842624218598956
24.943,8.178,16.765,0,T6,T3 to T6,0.48780196838651957
12.95,6.842121999999999,6.107878,0,T6,T3 to T6,1.1202126172133757
11.904,6.3388,5.5652,0,T6,T3 to T6,1.1390066843958888
16.268,8.57,7.698,0,T6,T3 to T6,1.1132761756300338
6.939,4.01421,2.92479,0,T6,T3 to T6,1.3724780240632664
18.245,3.5180000000000007,14.727,0,T6,T3 to T6,0.23888096693148642
13.677,6.114,7.563,0,T6,T3 to T6,0.8084093613645379
2.353,-4.032,6.385,0,T6,T3 to T6,-0.6314800313234142
44.364,19.074999999999996,25.289,0,T6,T3 to T6,0.7542805172209259
15.549,7.2393,8.3097,0,T6,T3 to T6,0.8711866854399076
22.746,8.249077999999999,14.496922,0,T6,T3 to T6,0.5690227208230823
10.654,5.703,4.951,0,T6,T3 to T6,1.1518885073722482
19.199,9.909000000000002,9.29,0,T6,T3 to T6,1.0666307857911737
21.832,9.406,12.426,0,T9,T6 to T9,0.756961210365363
16.077,6.656000000000002,9.421,0,T9,T6 to T9,0.706506740261119
68.405,27.844,40.561,0,T9,T6 to T9,0.6864722270160992
34.007,8.839999999999996,25.167,0,T9,T6 to T9,0.3512536257797908
7.426,4.646000000000001,2.78,0,T9,T6 to T9,1.6712230215827342
6.884,3.454,3.43,0,T9,T6 to T9,1.0069970845481049
5.052,0.633,4.419,0,T9,T6 to T9,0.143245078071962
1.012,-0.5229999999999999,1.535,0,T9,T6 to T9,-0.3407166123778501
57.539,16.091,41.448,0,T9,T6 to T9,0.3882213858328508
5.706,-1.0619999999999994,6.768,0,T9,T6 to T9,-0.15691489361702118
4.907,3.075,1.832,0,T9,T6 to T9,1.6784934497816595
5.511,0.9539999999999997,4.557,0,T9,T6 to T9,0.20934825543120467
6.052,3.4909999999999997,2.561,0,T9,T6 to T9,1.3631393986723934
2.02,1.2000000000000002,0.82,0,T9,T6 to T9,1.4634146341463419
4.32,2.4290000000000003,1.891,0,T9,T6 to T9,1.2845055526176627
0.7,0.03599999999999992,0.664,0,T9,T6 to T9,0.054216867469879394
0,-0.836,0.836,0,T9,T6 to T9,-1
25.869,5.475000000000001,20.394,0,T9,T6 to T9,0.2684613121506326
5.1,3.468,1.632,0,T9,T6 to T9,2.125
19.229,6.962,12.267,0,T9,T6 to T9,0.5675389255726747
16.037,5.549999999999999,10.487,0,T9,T6 to T9,0.529226661581005
30.225,3.1660000000000004,27.059,0,T9,T6 to T9,0.11700358475922984
28.965,10.451,18.514,0,T9,T6 to T9,0.56449173598358
21.056,6.386000000000001,14.67,0,T9,T6 to T9,0.4353101567825495
33.525,8.741999999999997,24.783,0,T9,T6 to T9,0.3527417988137028
5.96,2.822,3.138,0,T9,T6 to T9,0.8992989165073295
19.774,-6.695,26.469,0,T9,T6 to T9,-0.25293739846613017
31.957,6.184000000000001,25.773,0,T9,T6 to T9,0.23994102355177904
20.635,4.692000000000002,15.943,0,T9,T6 to T9,0.2942984381860379
12.252,3.062000000000001,9.19,0,T9,T6 to T9,0.3331882480957564
4.528,3.2439999999999998,1.284,0,T9,T6 to T9,2.526479750778816
0.946,0.07699999999999996,0.869,0,T9,T6 to T9,0.0886075949367088
25.63,4.6229999999999976,21.007,0,T9,T6 to T9,0.2200695006426428
8.605,4.4430000000000005,4.162,0,T9,T6 to T9,1.0675156174915907
1.279,0.052999999999999936,1.226,0,T9,T6 to T9,0.04323001631321365
12.549,9.109,3.44,0,T9,T6 to T9,2.6479651162790696
18.571,2.5600000000000023,16.011,0,T9,T6 to T9,0.1598900755730437
1.243,0.5330000000000001,0.71,0,T9,T6 to T9,0.7507042253521129
